iter	Logloss
0	0.659933868
1	0.6462082948
2	0.6151014604
3	0.5987673878
4	0.5824348246
5	0.576761248
6	0.5714959975
7	0.4871945647
8	0.4365270941
9	0.4222128378
10	0.3937057043
11	0.357256802
12	0.3354502774
13	0.311267743
14	0.3010445796
15	0.2899804944
16	0.2812552287
17	0.2807796122
18	0.2736905312
19	0.2679129856
20	0.2590817814
21	0.2566871553
22	0.2466055962
23	0.2429624883
24	0.2427539325
25	0.2417634699
26	0.23830421
27	0.2382807631
28	0.2347805288
29	0.2321525691
30	0.2286295251
31	0.2242320491
32	0.2214893706
33	0.2171227243
34	0.2166041579
35	0.2150813899
36	0.2148795596
37	0.2116396879
38	0.211618397
39	0.2103659513
40	0.208025308
41	0.2080253051
42	0.2041495337
43	0.1987781355
44	0.1983832875
45	0.1969613996
46	0.1950669606
47	0.1948840197
48	0.194728476
49	0.1931024573
50	0.1930682616
51	0.1930659035
52	0.1920389112
53	0.1920376846
54	0.1914124981
55	0.1913830226
56	0.1892906278
57	0.1871080815
58	0.1871053117
59	0.1871010076
60	0.1859750665
61	0.1853612049
62	0.185332629
63	0.1832487153
64	0.1832469554
65	0.1832469554
66	0.1832469554
67	0.1827914178
68	0.1827894673
69	0.1826278584
70	0.1826036844
71	0.1825983358
72	0.1823217025
73	0.1823037001
74	0.1823022723
75	0.1822953287
76	0.1820336587
77	0.1819979884
78	0.1818717907
79	0.1817428087
80	0.1817427728
81	0.1817427532
82	0.1792008423
83	0.1789575034
84	0.1789494603
85	0.1776568007
86	0.1776541482
87	0.1776504041
88	0.1775805735
89	0.1762473265
90	0.1751403609
91	0.1751402815
92	0.1750012138
93	0.1750011468
94	0.1749956324
95	0.1746837112
96	0.1746824115
97	0.1745749448
98	0.1741125178
99	0.1741125148
100	0.1741117474
101	0.174111742
102	0.1741117394
103	0.1741082237
104	0.1740897993
105	0.1739720207
106	0.1732875612
107	0.1721867423
108	0.1721795428
109	0.1721788698
110	0.1719907729
111	0.1718213059
112	0.1718212857
113	0.1718212414
114	0.1714702741
115	0.1714702703
116	0.1705765889
117	0.1705746345
118	0.1704005217
119	0.1703904001
120	0.1703903327
121	0.1703845503
122	0.1703812341
123	0.1703794192
124	0.1703734075
125	0.1703710642
126	0.1700011281
127	0.1688712849
128	0.168740762
129	0.1687386331
130	0.1681796589
131	0.1679930559
132	0.1675750493
133	0.1675649826
134	0.1675649667
135	0.1675632352
136	0.1663711191
137	0.166371091
138	0.1663633566
139	0.16471453
140	0.1647028735
141	0.1641066214
142	0.1640663424
143	0.1640663121
144	0.1640593862
145	0.1632647518
146	0.1632520561
147	0.1632513559
148	0.1625223011
149	0.162509252
150	0.1624991474
151	0.1617035805
152	0.1616936847
153	0.1616936179
154	0.1616935532
155	0.1616934998
156	0.1612067922
157	0.1611993485
158	0.1600296696
159	0.1600280419
160	0.1596599477
161	0.1596599257
162	0.1578653569
163	0.1571995058
164	0.1558552108
165	0.1549087635
166	0.1540435265
167	0.1536146672
168	0.153091881
169	0.1525238502
170	0.1522277617
171	0.1519670128
172	0.1519553214
173	0.1509695312
174	0.1509619297
175	0.149871993
176	0.1498652097
177	0.149439078
178	0.148989774
179	0.1486994888
180	0.1482140677
181	0.1482029374
182	0.1477243607
183	0.1474929356
184	0.1471121929
185	0.1469520784
186	0.1464323448
187	0.1459295927
188	0.1452922006
189	0.1452830836
190	0.1451882611
191	0.1450465783
192	0.1450393002
193	0.1444853313
194	0.1437862332
195	0.1433730199
196	0.1428758764
197	0.1428626873
198	0.1425881533
199	0.1420958234
200	0.1420724359
201	0.1419753314
202	0.1415564174
203	0.1411939527
204	0.1411865969
205	0.1411710077
206	0.1409377688
207	0.1407989046
208	0.1406944624
209	0.1406916611
210	0.1406238894
211	0.1406033309
212	0.1402441187
213	0.1402337737
214	0.1402217676
215	0.1401413745
216	0.1400431074
217	0.1398338717
218	0.1398322626
219	0.1398191183
220	0.139812893
221	0.1397793663
222	0.1397103418
223	0.1397024241
224	0.1396925143
225	0.1396430088
226	0.1395117762
227	0.1394999329
228	0.1394944699
229	0.1392449201
230	0.1391893031
231	0.1391455421
232	0.1391403618
233	0.139054166
234	0.1387781416
235	0.1387602589
236	0.1387429925
237	0.1387172116
238	0.1387120442
239	0.1386955929
240	0.1385263413
241	0.138436105
242	0.1384105485
243	0.1383990894
244	0.1383877916
245	0.1383670823
246	0.1383562213
247	0.138336693
248	0.138275267
249	0.1382452376
250	0.1382128566
251	0.1382032227
252	0.1381912604
253	0.1381730436
254	0.1381602886
255	0.1380147135
256	0.1379983979
257	0.1379914996
258	0.137943368
259	0.1379323695
260	0.1379290085
261	0.1379227204
